emoji,name,clean_name,emotional_scores,scaled_emotional_scores,max_emotion,sentiment
🙁,slightly frowning face,slightly frown face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 2, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.1, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,neutral
☹,frowning face,frown face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 2, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.1, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,neutral
😮,face with open mouth,face open mouth,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,neutral
😯,hushed face,hush face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😲,astonished face,astonish face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😳,flushed face,flush face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🥺,pleading face,plead face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😦,frowning face with open mouth,frown face open mouth,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 2, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.1, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Sadness,neutral
😧,anguished face,anguish face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Fear,negative
😨,fearful face,fearful face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Fear,negative
😰,anxious face with sweat,anxious face sweat,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 2, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.16666666666666666, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Fear,negative
😥,sad but relieved face,sad relieve face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,negative
😢,crying face,cry face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 2, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.1, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,negative
😭,loudly crying face,loudly cry face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 2, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.1, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,negative
😱,face screaming in fear,face scream fear,"{'Anger': 3, 'Anticipation': 0, 'Disgust': 2, 'Fear': 4, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.2, 'Anticipation': 0.0, 'Disgust': 0.125, 'Fear': 0.3333333333333333, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Fear,negative
😖,confounded face,confound face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😣,persevering face,persevere face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😞,disappointed face,disappointed face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Anger,negative
😓,downcast face with sweat,downcast face sweat,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Fear,negative
😩,weary face,weary face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,negative
😫,tired face,tire face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🥱,yawning face,yawn face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😤,face with steam from nose,face steam nose,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Disgust,neutral
😡,pouting face,pout face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😠,angry face,angry face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Anger,negative
🤬,face with symbols on mouth,face symbol mouth,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,neutral
😈,smiling face with horns,smile face horn,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
👿,angry face with horns,angry face horn,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Anger,negative
💀,skull,skull,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
☠,skull and crossbones,skull crossbones,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
💩,pile of poo,pile,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Disgust,neutral
🤡,clown face,clown face,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Anticipation,neutral
